Technology,Green roof type,Plant species,Irrigation,PV panel type,PV panels and GR locations,Distance PV-green roof [cm],Distance PV-basecase roof [cm],Season,Base case roof situation,Building type,Base case roof,Base case insulation,Roof slope,Item,Item type,Item scale,Item class,Original monetary value,u.m.,Original year(s) at which the item is accounted,Green roof lifetime [years],Actual year(s) at which the item is accounted,Actual monetary value at the accounting year,PPP Exchange rate [€ EU27-year/ local currency-year],Inflation adjustment ratio [GDP deflator 2019/GDP deflator year],Adjusted Monetary value [EU27 2019 €/m2],Method for monetary value,Quantiative absolute evaluation,u.m.3,Method for absolute evaluation,Quantiative absolute evaluation 2,u.m. 3,Method for absolute evaluation 2,Climate,Continent,Country,City,Authors,Year,Title,Study type
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,flat,Stormwater management,benefit,urban,socio-environmental,0.002,2017 €/m2,every year,40,every year,0.002,1.193,1.619,0.003862047,Avoided cost,0.922,m3/m2,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Stormwater management,benefit,urban,socio-environmental,0.002,2017 €/m2,every year,40,every year,0.002,1.193,1.619,0.003862047,Avoided cost,0.922,m3/m2,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Stormwater management,benefit,urban,socio-environmental,0.002,2017 €/m2,every year,40,every year,0.002,1.193,1.619,0.003862047,Avoided cost,0.922,m3/m2,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,slanted,Stormwater management,benefit,urban,socio-environmental,0.002,2017 €/m2,every year,40,every year,0.002,1.193,1.619,0.003862047,Avoided cost,0.922,m3/m2,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,flat,Stormwater management,benefit,urban,socio-environmental,0.002,2017 €/m2,every year,40,every year,0.002,1.193,1.619,0.003862047,Avoided cost,0.922,m3/m2,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,flat,Water runoff quality increase,benefit,urban,socio-environmental,0.001,2017 €/m2,every year,40,every year,0.001,1.193,1.619,0.001931024,Avoided cost (water treatement),,,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Water runoff quality increase,benefit,urban,socio-environmental,0.001,2017 €/m2,every year,40,every year,0.001,1.193,1.619,0.001931024,Avoided cost (water treatement),,,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Water runoff quality increase,benefit,urban,socio-environmental,0.001,2017 €/m2,every year,40,every year,0.001,1.193,1.619,0.001931024,Avoided cost (water treatement),,,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,slanted,Water runoff quality increase,benefit,urban,socio-environmental,0.001,2017 €/m2,every year,40,every year,0.001,1.193,1.619,0.001931024,Avoided cost (water treatement),,,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,flat,Water runoff quality increase,benefit,urban,socio-environmental,0.001,2017 €/m2,every year,40,every year,0.001,1.193,1.619,0.001931024,Avoided cost (water treatement),,,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,flat,Urban noise reduction,benefit,urban,socio-environmental,1.85,2017 €/m2,every year,40,every year,1.85,1.193,1.619,3.57239355,Avoided cost (urban noise reduction plan cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Urban noise reduction,benefit,urban,socio-environmental,1.85,2017 €/m2,every year,40,every year,1.85,1.193,1.619,3.57239355,Avoided cost (urban noise reduction plan cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Urban noise reduction,benefit,urban,socio-environmental,1.85,2017 €/m2,every year,40,every year,1.85,1.193,1.619,3.57239355,Avoided cost (urban noise reduction plan cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,slanted,Urban noise reduction,benefit,urban,socio-environmental,1.85,2017 €/m2,every year,40,every year,1.85,1.193,1.619,3.57239355,Avoided cost (urban noise reduction plan cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,flat,Urban noise reduction,benefit,urban,socio-environmental,1.85,2017 €/m2,every year,40,every year,1.85,1.193,1.619,3.57239355,Avoided cost (urban noise reduction plan cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,flat,Biodiversity enhancement,benefit,urban,socio-environmental,0.54,2017 €/m2,every year,40,every year,0.54,1.193,1.619,1.042752712,Avoided cost (biodiversity preservation program cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Biodiversity enhancement,benefit,urban,socio-environmental,0.54,2017 €/m2,every year,40,every year,0.54,1.193,1.619,1.042752712,Avoided cost (biodiversity preservation program cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Biodiversity enhancement,benefit,urban,socio-environmental,0.54,2017 €/m2,every year,40,every year,0.54,1.193,1.619,1.042752712,Avoided cost (biodiversity preservation program cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Biodiversity enhancement,benefit,urban,socio-environmental,0.54,2017 €/m2,every year,40,every year,0.54,1.193,1.619,1.042752712,Avoided cost (biodiversity preservation program cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,flat,Biodiversity enhancement,benefit,urban,socio-environmental,0.54,2017 €/m2,every year,40,every year,0.54,1.193,1.619,1.042752712,Avoided cost (biodiversity preservation program cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,flat,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.1,2017 €/m2,every year,40,every year,0.1,1.193,1.619,0.193102354,Avoided cost (electricity consumption for cooling),2.5-3.3,% increase in cooling needs/°C increase in air temp.,"Value from literature (Akbary, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,flat,Flood risk reduction,benefit,urban,socio-environmental,0.005,2017 €/m2,0-15,40,every year,0.005,1.193,1.619,1.619024104,Avoided cost,74-89,% reduction in runoff peak flow,"Value adapted from literature (Fioretti et al, 2010)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,flat,Stormwater management,benefit,urban,socio-environmental,0.002,2017 €/m2,every year,40,every year,0.002,1.193,1.619,0.003862047,Avoided cost,0.922,m3/m2,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,flat,Water runoff quality increase,benefit,urban,socio-environmental,0.001,2017 €/m2,every year,40,every year,0.001,1.193,1.619,0.001931024,Avoided cost (water treatement),,,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,flat,Urban noise reduction,benefit,urban,socio-environmental,1.85,2017 €/m2,every year,40,every year,1.85,1.193,1.619,3.57239355,Avoided cost (urban noise reduction plan cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,flat,Biodiversity enhancement,benefit,urban,socio-environmental,0.54,2017 €/m2,every year,40,every year,0.54,1.193,1.619,1.042752712,Avoided cost (biodiversity preservation program cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.1,2017 €/m2,every year,40,every year,0.1,1.193,1.619,0.193102354,Avoided cost (electricity consumption for cooling),2.5-3.3,% increase in cooling needs/°C increase in air temp.,"Value from literature (Akbary, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Flood risk reduction,benefit,urban,socio-environmental,0.005,2017 €/m2,0-15,40,every year,0.005,1.193,1.619,1.619024104,Avoided cost,74-89,% reduction in runoff peak flow,"Value adapted from literature (Fioretti et al, 2010)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Stormwater management,benefit,urban,socio-environmental,0.002,2017 €/m2,every year,40,every year,0.002,1.193,1.619,0.003862047,Avoided cost,0.922,m3/m2,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Water runoff quality increase,benefit,urban,socio-environmental,0.001,2017 €/m2,every year,40,every year,0.001,1.193,1.619,0.001931024,Avoided cost (water treatement),,,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Urban noise reduction,benefit,urban,socio-environmental,1.85,2017 €/m2,every year,40,every year,1.85,1.193,1.619,3.57239355,Avoided cost (urban noise reduction plan cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Biodiversity enhancement,benefit,urban,socio-environmental,0.54,2017 €/m2,every year,40,every year,0.54,1.193,1.619,1.042752712,Avoided cost (biodiversity preservation program cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.1,2017 €/m2,every year,40,every year,0.1,1.193,1.619,0.193102354,Avoided cost (electricity consumption for cooling),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Flood risk reduction,benefit,urban,socio-environmental,0.005,2017 €/m2,0-15,40,every year,0.005,1.193,1.619,1.619024104,Avoided cost,74-89,% reduction in runoff peak flow,"Value adapted from literature (Fioretti et al, 2010)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Stormwater management,benefit,urban,socio-environmental,0.002,2017 €/m2,every year,40,every year,0.002,1.193,1.619,0.003862047,Avoided cost,0.922,m3/m2,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Water runoff quality increase,benefit,urban,socio-environmental,0.001,2017 €/m2,every year,40,every year,0.001,1.193,1.619,0.001931024,Avoided cost (water treatement),,,"Value from literature (Fioretti et al., 2010; Mentes et al., 2006)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Urban noise reduction,benefit,urban,socio-environmental,1.85,2017 €/m2,every year,40,every year,1.85,1.193,1.619,3.57239355,Avoided cost (urban noise reduction plan cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Biodiversity enhancement,benefit,urban,socio-environmental,0.54,2017 €/m2,every year,40,every year,0.54,1.193,1.619,1.042752712,Avoided cost (biodiversity preservation program cost),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Energy consumption reduction (cooling),benefit,building,financial,0.25,2017 €/m2,every year,40,every year,0.25,1.193,1.619,0.482755885,Avoided cost (electricity consumption),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Energy consumption reduction (heating),benefit,building,financial,0.06,2017 €/m2,every year,40,every year,0.06,1.193,1.619,0.115861412,Avoided cost (natural gas consumption),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Energy consumption reduction (heating and cooling),benefit,building,financial,0.31,2017 €/m2,every year,40,every year,0.31,1.193,1.619,0.598617298,Aggregation,,,Aggregation,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Energy consumption reduction (cooling),benefit,building,financial,0.62,2017 €/m2,every year,40,every year,0.62,1.193,1.619,1.197234595,Avoided cost (electricity consumption),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Energy consumption reduction (heating),benefit,building,financial,0.17,2017 €/m2,every year,40,every year,0.17,1.193,1.619,0.328274002,Avoided cost (natural gas consumption),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Energy consumption reduction (heating and cooling),benefit,building,financial,0.79,2017 €/m2,every year,40,every year,0.79,1.193,1.619,1.525508597,Aggregation,,,Aggregation,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Energy consumption reduction (cooling),benefit,building,financial,0.51,2017 €/m2,every year,40,every year,0.51,1.193,1.619,0.984822006,Avoided cost (electricity consumption),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Energy consumption reduction (heating),benefit,building,financial,0.76,2017 €/m2,every year,40,every year,0.76,1.193,1.619,1.467577891,Avoided cost (natural gas consumption),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Energy consumption reduction (heating and cooling),benefit,building,financial,1.27,2017 €/m2,every year,40,every year,1.27,1.193,1.619,2.452399897,Aggregation,,,Aggregation,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,slanted,Energy consumption reduction (cooling),benefit,building,financial,0.21,2017 €/m2,every year,40,every year,0.21,1.193,1.619,0.405514944,Avoided cost (electricity consumption),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,slanted,Energy consumption reduction (heating),benefit,building,financial,0.96,2017 €/m2,every year,40,every year,0.96,1.193,1.619,1.853782599,Avoided cost (natural gas consumption),,,,,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
